Timestamp,NT:/FMSInfo/.type,NT:/FMSInfo/EventName,NT:/FMSInfo/FMSControlData,NT:/FMSInfo/GameSpecificMessage,NT:/FMSInfo/IsRedAlliance,NT:/FMSInfo/MatchNumber,NT:/FMSInfo/MatchType,NT:/FMSInfo/ReplayNumber,NT:/FMSInfo/StationNumber,NT:/LiveWindow/.status/LW Enabled,NT:/Preferences/.type,NT:/Preferences/RobotId,NT:/Shuffleboard/.metadata/Selected,NT:/Shuffleboard/.recording/FileNameFormat,NT:/Shuffleboard/.recording/RecordData,NT:/SmartDashboard/at setpoint?,NT:/SmartDashboard/go/.controllable,NT:/SmartDashboard/go/.isParented,NT:/SmartDashboard/go/.name,NT:/SmartDashboard/go/.type,NT:/SmartDashboard/go/interruptBehavior,NT:/SmartDashboard/go/running,NT:/SmartDashboard/go/runsWhenDisabled,NT:/SmartDashboard/left speed,NT:/SmartDashboard/right speed,NT:/SmartDashboard/RobotID,NT:/SmartDashboard/RPM bottom,NT:/SmartDashboard/RPM top,NT:/SmartDashboard/sdposetest,NT:/SmartDashboard/sdposetest/0,NT:/SmartDashboard/sdposetest/1,NT:/SmartDashboard/sdposetest/2,NT:/SmartDashboard/sdposetest/length,NT:/SmartDashboard/shoot/.controllable,NT:/SmartDashboard/shoot/.isParented,NT:/SmartDashboard/shoot/.name,NT:/SmartDashboard/shoot/.type,NT:/SmartDashboard/shoot/interruptBehavior,NT:/SmartDashboard/shoot/running,NT:/SmartDashboard/shoot/runsWhenDisabled,NT:/SmartDashboard/shoot off/.controllable,NT:/SmartDashboard/shoot off/.isParented,NT:/SmartDashboard/shoot off/.name,NT:/SmartDashboard/shoot off/.type,NT:/SmartDashboard/shoot off/interruptBehavior,NT:/SmartDashboard/shoot off/running,NT:/SmartDashboard/shoot off/runsWhenDisabled
122.274317,null,null,null,null,true,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
122.274356,"FMSInfo",null,0,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,null,null,null,null,null,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.082753,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,null,null,null,null,null,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.183107,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.02;2.0199999999999996;0.02],1.02,2.0199999999999996,0.02,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.203136,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.03;2.0199999999999996;0.02],1.03,2.0199999999999996,0.02,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.222721,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.03;2.0299999999999994;0.02],1.03,2.0299999999999994,0.02,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.242752,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.03;2.0299999999999994;0.03],1.03,2.0299999999999994,0.03,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.26268,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.04;2.0299999999999994;0.03],1.04,2.0299999999999994,0.03,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.282713,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.04;2.039999999999999;0.03],1.04,2.039999999999999,0.03,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.302835,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.04;2.039999999999999;0.04],1.04,2.039999999999999,0.04,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.323436,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.05;2.039999999999999;0.04],1.05,2.039999999999999,0.04,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.34223,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.05;2.049999999999999;0.04],1.05,2.049999999999999,0.04,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.363048,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.05;2.049999999999999;0.05],1.05,2.049999999999999,0.05,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.382918,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.06;2.049999999999999;0.05],1.06,2.049999999999999,0.05,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.402945,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.06;2.0599999999999987;0.05],1.06,2.0599999999999987,0.05,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.423804,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.06;2.0599999999999987;0.060000000000000005],1.06,2.0599999999999987,0.060000000000000005,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.442819,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.07;2.0599999999999987;0.060000000000000005],1.07,2.0599999999999987,0.060000000000000005,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.462902,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.07;2.0699999999999985;0.060000000000000005],1.07,2.0699999999999985,0.060000000000000005,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.483033,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.07;2.0699999999999985;0.07],1.07,2.0699999999999985,0.07,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.503231,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.08;2.0699999999999985;0.07],1.08,2.0699999999999985,0.07,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.523118,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.08;2.0799999999999983;0.07],1.08,2.0799999999999983,0.07,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.542938,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.08;2.0799999999999983;0.08],1.08,2.0799999999999983,0.08,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.568293,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.09;2.0799999999999983;0.08],1.09,2.0799999999999983,0.08,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.583001,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.09;2.089999999999998;0.08],1.09,2.089999999999998,0.08,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.603709,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.09;2.089999999999998;0.09],1.09,2.089999999999998,0.09,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.623655,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1;2.089999999999998;0.09],1.1,2.089999999999998,0.09,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.643373,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1;2.099999999999998;0.09],1.1,2.099999999999998,0.09,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
